iter	Passed	Remaining
843	8354	1544
844	8363	1534
845	8373	1524
846	8383	1514
847	8393	1504
848	8404	1494
849	8415	1485
850	8424	1475
851	8435	1465
852	8449	1456
853	8461	1446
854	8471	1436
855	8481	1426
856	8489	1416
857	8501	1406
858	8512	1397
859	8520	1387
860	8530	1377
861	8539	1367
862	8549	1357
863	8560	1347
864	8569	1337
865	8578	1327
866	8588	1317
867	8599	1307
868	8610	1298
869	8620	1288
870	8629	1278
871	8639	1268
872	8648	1258
873	8658	1248
874	8667	1238
875	8676	1228
876	8685	1218
877	8694	1208
878	8704	1198
879	8712	1188
880	8722	1178
881	8732	1168
882	8741	1158
883	8751	1148
884	8759	1138
885	8768	1128
886	8777	1118
887	8787	1108
888	8795	1098
889	8804	1088
890	8814	1078
891	8822	1068
892	8831	1058
893	8839	1048
894	8848	1038
895	8856	1027
896	8866	1018
897	8874	1008
898	8885	998
899	8895	988
900	8903	978
901	8912	968
902	8921	958
903	8930	948
904	8939	938
905	8948	928
906	8958	918
907	8966	908
908	8975	898
909	8984	888
910	8994	878
911	9002	868
912	9012	858
913	9020	848
914	9029	838
915	9038	828
916	9047	818
917	9056	808
918	9065	798
919	9074	789
920	9082	779
921	9092	769
922	9101	759
923	9110	749
924	9119	739
925	9128	729
926	9137	719
927	9146	709
928	9156	699
929	9168	690
930	9179	680
931	9190	670
932	9199	660
933	9208	650
934	9216	640
935	9225	630
936	9235	620
937	9243	610
938	9252	601
939	9260	591
940	9270	581
941	9279	571
942	9288	561
943	9298	551
944	9306	541
945	9316	531
946	9325	521
947	9335	512
948	9344	502
949	9352	492
950	9360	482
951	9369	472
952	9378	462
953	9386	452
954	9396	442
955	9404	432
956	9414	423
957	9424	413
958	9436	403
959	9448	393
960	9457	383
961	9465	373
962	9474	364
963	9483	354
964	9495	344
965	9505	334
966	9513	324
967	9523	314
968	9532	304
969	9541	295
970	9550	285
971	9561	275
972	9571	265
973	9579	255
974	9588	245
975	9597	235
976	9606	226
977	9614	216
978	9624	206
979	9632	196
980	9641	186
981	9649	176
982	9658	167
983	9669	157
984	9678	147
985	9689	137
986	9697	127
987	9705	117
988	9712	108
989	9720	98
990	9730	88
991	9739	78
992	9749	68
993	9757	58
994	9766	49
995	9776	39
996	9786	29
997	9794	19
998	9802	9
999	9810	0
